Team,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Atlanta Hawks,82,48,34,19830,7439511,1409,735.6,673.4,4.28,4.63,3.94
Boston Celtics,81,47,34,19540,7178732,1359.6,706.4,653.2,4.18,4.56,3.84
Brooklyn Nets,82,21,61,19755,7382444,1398.2,749.4,648.8,4.26,4.53,3.98
Charlotte Hornets,82,48,34,19855,7508753,1422.1,781.7,640.4,4.31,4.68,3.93
Chicago Bulls,82,42,40,19905,7461994,1413.3,754.5,658.8,4.27,4.59,3.95
Cleveland Cavaliers,82,57,25,19855,7188137,1361.4,730.3,631.1,4.13,4.32,3.92
Dallas Mavericks,82,42,40,20005,7333901,1389,755.7,633.3,4.18,4.47,3.88
Denver Nuggets,82,33,49,19830,7273281,1377.5,745.3,632.2,4.18,4.52,3.83
Detroit Pistons,82,44,38,19880,7289515,1380.6,744.3,636.3,4.18,4.47,3.88
Golden State Warriors,82.00,73.00,9.00,19880.00,7404467.00,1402.40,740.80,661.50,4.24,4.75,3.79
Houston Rockets,82,41,41,19830,7243193,1371.8,706.3,665.5,4.16,4.44,3.9
Indiana Pacers,82,45,37,19880,7278013,1378.4,733.7,644.7,4.17,4.46,3.88
LA Clippers,82,53,29,19830,7131476,1350.7,709.6,641.1,4.1,4.33,3.87
Los Angeles Lakers,82,17,65,19730,7260498,1375.1,748.5,626.6,4.19,4.43,3.94
Memphis Grizzlies,82,42,40,19830,7148932,1354,731.6,622.3,4.11,4.32,3.88
Miami Heat,82,48,34,19830,7267037,1376.3,752.2,624.1,4.18,4.44,3.9
Milwaukee Bucks,82,33,49,19830,7354679,1392.9,723.3,669.6,4.22,4.47,3.98
Minnesota Timberwolves,82,29,53,19880,7285813,1379.9,726.9,653,4.18,4.42,3.93
New Orleans Pelicans,82,30,52,19780,7460569,1413,753.7,659.3,4.3,4.73,3.9
New York Knicks,82,32,50,19805,7283318,1379.4,755.9,623.5,4.19,4.47,3.89
Oklahoma City Thunder,82,55,27,19830,7242478,1371.7,731.5,640.2,4.16,4.52,3.81
Orlando Magic,81,35,46,19640,7605452,1440.4,770.8,669.7,4.41,4.77,4.05
Philadelphia 76ers,82,10,72,19805,7609733,1441.2,780.7,660.5,4.38,4.66,4.09
Phoenix Suns,82,23,59,19705,7317047,1385.8,735.2,650.6,4.23,4.5,3.96
Portland Trail Blazers,82,44,38,19805,7462591,1413.4,777.2,636.2,4.29,4.65,3.93
Sacramento Kings,81,33,48,19565,7280726,1378.9,725.2,653.7,4.24,4.57,3.93
San Antonio Spurs,82,67,15,19705,7460562,1413,780.7,632.3,4.31,4.61,3.99
Toronto Raptors,81,55,26,19515,7170735,1358.1,751.5,606.6,4.18,4.4,3.94
Utah Jazz,82,40,42,19955,7496353,1419.8,790.1,629.7,4.28,4.55,3.98
Washington Wizards,82,41,41,19755,7384913,1398.7,728.4,670.2,4.25,4.64,3.9